popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
27.0,0.00468,0.652,-1.0,0.941,0.792,10.0,0.115,-5.2010000000000005,0.0,0.0748,100.889,0.759,Electronic
31.0,0.0127,0.622,218293.0,0.89,0.95,2.0,0.124,-7.042999999999999,0.0,0.03,115.00200000000001,0.531,Electronic
28.0,0.00306,0.62,215613.0,0.755,0.0118,8.0,0.534,-4.617,1.0,0.0345,127.994,0.3329999999999999,Electronic
34.0,0.0254,0.774,166875.0,0.7,0.00253,1.0,0.157,-4.498,1.0,0.239,128.014,0.27,Electronic
32.0,0.00465,0.638,222369.0,0.5870000000000001,0.909,6.0,0.157,-6.266,1.0,0.0413,145.036,0.3229999999999999,Electronic
46.0,0.0289,0.5720000000000001,214408.0,0.8029999999999999,7.74e-06,11.0,0.106,-4.294,1.0,0.351,149.995,0.23,Electronic
43.0,0.0297,0.809,416132.0,0.706,0.903,7.0,0.0635,-9.339,0.0,0.0484,120.008,0.7609999999999999,Electronic
39.0,0.00299,0.509,292800.0,0.921,0.000276,5.0,0.178,-3.175,0.0,0.268,149.94799999999998,0.273,Electronic
22.0,0.00934,0.578,204800.0,0.731,0.0112,9.0,0.111,-7.091,0.0,0.173,139.933,0.203,Electronic
30.0,0.855,0.607,170463.0,0.158,0.0,6.0,0.106,-13.787,0.0,0.0345,57.528,0.307,Electronic
27.0,0.0337,0.513,165132.0,0.828,0.569,11.0,0.109,-5.439,0.0,0.0609,178.543,0.0591,Electronic
31.0,0.016,0.66,236089.0,0.892,0.000605,0.0,0.163,-3.464,1.0,0.0645,128.043,0.111,Electronic
31.0,0.86,0.737,-1.0,0.405,0.0361,9.0,0.173,-10.536,0.0,0.0424,154.745,0.647,Electronic
27.0,0.000194,0.601,243857.0,0.969,0.7759999999999999,2.0,0.409,-1.5530000000000002,1.0,0.185,139.911,0.198,Electronic
50.0,0.00331,0.391,240000.0,0.957,0.22,7.0,0.1119999999999999,-2.51,1.0,0.0904,100.024,0.121,Electronic
59.0,0.136,0.336,-1.0,0.746,0.0,1.0,0.737,-4.315,0.0,0.0685,151.756,0.21,Electronic
29.0,0.158,0.66,266282.0,0.784,0.000279,0.0,0.0978,-4.396,0.0,0.0571,127.958,0.622,Electronic
35.0,6.02e-05,0.259,185333.0,0.687,0.00862,8.0,0.3379999999999999,-3.2310000000000003,1.0,0.0413,135.532,0.114,Electronic
50.0,0.0281,0.6559999999999999,307328.0,0.653,0.858,6.0,0.1119999999999999,-11.883,0.0,0.0396,117.999,0.1989999999999999,Electronic
44.0,0.00804,0.516,241877.0,0.92,0.614,9.0,0.8009999999999999,-4.37,0.0,0.0942,145.02700000000002,0.332,Electronic
29.0,0.00998,0.8540000000000001,227756.0,0.335,0.67,7.0,0.0761,-9.062,0.0,0.0545,83.943,0.509,Electronic
43.0,0.00949,0.629,364347.0,0.6970000000000001,0.235,6.0,0.118,-11.293,1.0,0.0765,162.266,0.8440000000000001,Electronic
33.0,0.00825,0.659,215280.0,0.912,0.0,5.0,0.5429999999999999,-4.212,1.0,0.0562,109.965,0.501,Electronic
56.0,0.068,0.725,-1.0,0.877,3.6200000000000006e-05,0.0,0.09,-3.4960000000000004,1.0,0.0646,105.919,0.0977,Electronic
34.0,0.0236,0.715,221050.0,0.978,0.000493,2.0,0.216,-1.538,1.0,0.362,125.109,0.418,Electronic
21.0,0.00362,0.713,214000.0,0.8240000000000001,0.492,11.0,0.311,-7.475,0.0,0.0409,120.00200000000001,0.4539999999999999,Electronic
29.0,0.00336,0.291,309943.0,0.94,0.0001159999999999,5.0,0.105,-4.044,0.0,0.319,174.86,0.146,Electronic
31.0,0.0422,0.6,446413.0,0.7959999999999999,0.911,4.0,0.145,-12.749,0.0,0.0468,115.01,0.0318,Electronic
28.0,0.0336,0.74,222241.0,0.83,0.401,1.0,0.0961,-3.783,1.0,0.0603,135.05700000000002,0.155,Electronic
35.0,0.000556,0.585,264576.0,0.953,0.00949,2.0,0.385,-2.734,0.0,0.0797,127.98899999999999,0.6609999999999999,Electronic
48.0,0.0001899999999999,0.595,467816.0,0.942,0.72,7.0,0.318,-11.22,1.0,0.0416,130.013,0.0333,Electronic
53.0,0.103,0.573,240627.0,0.6859999999999999,0.0117,11.0,0.1119999999999999,-2.7060000000000004,1.0,0.0549,60.191,0.29,Electronic
63.0,0.414,0.81,297775.0,0.591,0.799,8.0,0.072,-13.385,1.0,0.0638,136.028,0.297,Electronic
25.0,0.149,0.419,346324.0,0.879,0.476,2.0,0.261,-2.8760000000000003,1.0,0.0481,109.055,0.61,Electronic
36.0,0.66,0.605,242773.0,0.555,0.862,5.0,0.28,-9.661,0.0,0.035,160.179,0.462,Electronic
36.0,0.181,0.611,-1.0,0.6759999999999999,5.35e-06,1.0,0.139,-9.113,1.0,0.0461,139.959,0.573,Electronic
34.0,7.879999999999999e-05,0.578,367307.0,0.76,0.015,0.0,0.0538,-5.865,1.0,0.0441,136.059,0.575,Electronic
43.0,0.1689999999999999,0.685,-1.0,0.909,0.000663,0.0,0.942,-7.627000000000001,1.0,0.043,119.978,0.962,Electronic
31.0,0.0035,0.595,222147.0,0.904,0.0037799999999999,2.0,0.0533,-6.805,0.0,0.0349,127.61,0.841,Electronic
37.0,0.00929,0.617,-1.0,0.8959999999999999,0.0776,10.0,0.526,-0.317,0.0,0.19,149.92,0.546,Electronic
48.0,0.00409,0.721,260952.0,0.938,0.275,1.0,0.38,-3.818,1.0,0.0921,126.01100000000001,0.161,Electronic
