acousticness,loudness,music_genre
0.00468,-5.2010000000000005,Electronic
0.0127,-7.042999999999999,Electronic
0.00306,-4.617,Electronic
0.0254,-4.498,Electronic
0.00465,-6.266,Electronic
0.0052299999999999,-10.517,Electronic
0.0289,-4.294,Electronic
0.0297,-9.339,Electronic
0.00299,-3.175,Electronic
0.00934,-7.091,Electronic
0.855,-13.787,Electronic
0.0337,-5.439,Electronic
0.016,-3.464,Electronic
0.86,-10.536,Electronic
0.000194,-1.5530000000000002,Electronic
0.00331,-2.51,Electronic
0.136,-4.315,Electronic
0.158,-4.396,Electronic
6.02e-05,-3.2310000000000003,Electronic
0.0281,-11.883,Electronic
0.00804,-4.37,Electronic
0.00998,-9.062,Electronic
0.00949,-11.293,Electronic
0.00825,-4.212,Electronic
0.068,-3.4960000000000004,Electronic
0.0236,-1.538,Electronic
0.00362,-7.475,Electronic
0.00336,-4.044,Electronic
0.0422,-12.749,Electronic
0.0336,-3.783,Electronic
0.000556,-2.734,Electronic
0.0001899999999999,-11.22,Electronic
0.0233,-7.569,Electronic
0.103,-2.7060000000000004,Electronic
0.414,-13.385,Electronic
0.108,-5.781000000000001,Electronic
0.0478,-5.259,Electronic
0.149,-2.8760000000000003,Electronic
0.66,-9.661,Electronic
0.203,-12.52,Electronic
0.181,-9.113,Electronic
0.0776,-7.854,Electronic
7.879999999999999e-05,-5.865,Electronic
0.1689999999999999,-7.627000000000001,Electronic
0.0035,-6.805,Electronic
0.00929,-0.317,Electronic
0.00409,-3.818,Electronic
0.0579999999999999,-12.991,Electronic
0.636,-15.88,Electronic
0.0378,-3.46,Electronic
0.111,-6.295,Electronic
0.173,-8.333,Electronic
0.7020000000000001,-15.523,Electronic
0.718,-13.57,Electronic
0.0662,-2.189,Electronic
0.627,-8.007,Electronic
0.0004089999999999,-1.286,Electronic
0.0106,-17.647000000000002,Electronic
0.00155,-3.954,Electronic
0.0827,-1.51,Electronic
0.216,-14.892,Electronic
0.0816,-5.275,Electronic
